# format of this file:
# evaluation_number 	[function_input_vector] 	 violation 	[properties] 	[function_output_vector] 	 evaluator_rank 	 evaluation_time 	 life_time 
0	<1,1.5,2,1.5,3,1.5,1,1.5,2,1.5,3,1.5,1,1.5,2,1.5>	0	<>	<3,12,-1.5>	0	0.10478499999999998926192291	0
1	<1,1.5,2,1.5,3,1.5,1,1.5,2,1.5,3,1.5,1,1.5,2,1.5>	0	<>	<3,12,-1.5>	0	0.098881999999999997674748897	0
2	<7.177944589023452337528397,96.677438540699625946217566,2.403578178213712668309654,44.829173779501196861474455,5.3777631732531654407125643,16.892321043132021429755696,4.0685998332074841954408839,69.515704395955296490683395,7.087854610331288718327869,79.800779642444467754103243,4.5173310905310000151757777,63.396897243055001069933496,3.937355079193299189910249,77.081701707598611506000452,3.4391128963041643906706213,17.994287152771970994535877>	0	<>	<7,466.18830000000002655724529,-96.677400000000005775291356>	0	0.099528999999999992476240607	0
3	<4.5877028431686124321231546,45.564695655165564858180005,2.3212578381976385344387381,55.86527015821322095234791,2.3035273436939007751789177,0.083432765716422704893595608,7.9273550440219020529752925,53.346010927737694373718114,5.0347674945531259993458661,52.06818122047380370531755,2.919953481722601384973359,64.537586115550993781653233,7.0033751800672039422579473,25.358193845189266113493431,3.9628512193275855501894966,74.018853844152232568376348>	0	<>	<8,370.84233280000000831932994,-74.018900000000002137312549>	0	0.1096289999999999903446124	0
4	<2.5424942637525935751341422,62.377562822018546739855083,2.3193619303961110489353814,84.575106242939412481973704,6.5488918738201684632826982,62.685168098046055717986746,4.7863567414630008300946429,66.239235441311834051703045,3.9740163385747075963649877,4.3383975533481677899771967,3.0745292846460499092131613,84.448163110971520950442937,6.6994069482662750303347821,64.480602585003055082779611,1.170971515202415824674631,32.672996973932256992156908>	0	<>	<7,461.81729999999998881321517,-84.575100000000006161826605>	0	0.096272999999999997466915147	0
5	<1.7031708735521746689300926,21.317562237995474561103038,7.1976787025098127870137432,28.667117435795773872087011,2.4980696502598327413124935,87.50048204674408225400839,6.7409189854473430258963162,79.040530640185124866547994,3.7698064254456231658707566,9.441035198718791932037675,4.0504681696418991521113639,25.33116579304038040731939,3.4359460330735642763499982,85.904562746130196160265768,7.9545013746034829438258384,56.834861383230823150825017>	0	<>	<8,394.03744000000000369254849,-87.500500000000002387423592>	0	0.09719399999999998873700946	0
6	<4.3797487865107829208000112,18.198047167713774285857653,3.898697730572287856176672,27.552009386733178786244025,6.6618250686031883489590655,95.500778171932680038480612,7.5653871379631514315633467,23.369162913118099567100217,7.9887423007696600762983508,23.427377419279597603463117,1.5472128184266447092909402,81.259274986227637782576494,7.1535586002997861854169059,10.259776241266996166245917,1.9752590339515632145150903,97.953278244451283285343379>	0	<>	<8,377.51979999999997517079464,-97.95329999999999870397005>	0	0.099554999999999990722976406	0
7	<3.21041369354837291538729,2.4705390457392386593937772,2.8634276943576653096101836,52.978333482974363732864731,7.2979714764738323751203097,8.6335239506482732707581818,3.2413204886211643973581431,29.539684313135076365597342,2.2652191404556942799786157,75.596980832329478516840027,4.8409595074322817609413505,52.873788193275125024683803,5.3051080472325473635919479,54.220869696801933912411187,1.6796054670957873966585794,9.7836690534761494575377583>	0	<>	<7,286.0974299999999743704393,-75.596999999999994201971276>	0	0.097596999999999989316989968	0
8	<6.0693241805160997870416395,51.118617109543933452187048,3.6134974908146531014097036,53.302132130275545307540597,4.2633576664437349279523914,31.126923268254344634442532,6.3669906530375550701705833,46.458570913625216292075493,4.8188010481273764185061736,84.488621067483265392183966,2.9402492097300707563078959,42.462280691816602029575733,7.6323878116125181136908395,41.650117813446613013184106,3.8290891222791230141808683,26.325735741446603555004913>	0	<>	<8,376.93290000000001782609615,-84.488600000000005252331903>	0	0.098156999999999994255261981	0
9	<4.0884459801430095282626098,67.035954523382685010801652,6.5512848457094676746237383,34.091677951669169033266371,6.2968634931821672040541671,11.322933301014328932865283,5.454195358536297000284776,93.744037623398028813426208,7.0843939925936956214513884,18.502212324413569888292841,4.2632478039074914732964316,48.421457665237348066966661,6.0906157414850854436849659,56.326475300046837446643622,5.0743588703099442582811207,45.141998839165083268198941>	0	<>	<7,374.58679999999998244675226,-93.743999999999999772626325>	0	0.097119000000000066386007802	0
