# format of this file:
# generation_number 	[function_input_vector] 	 violation 	[properties] 	[function_output_vector]
0	<1,1.5,2,1.5,3,1.5,1,1.5,2,1.5,3,1.5,1,1.5,2,1.5>	0	<>	<3,12,-1.5>
0	<1,1.5,2,1.5,3,1.5,1,1.5,2,1.5,3,1.5,1,1.5,2,1.5>	0	<>	<3,12,-1.5>
0	<7.17794,96.6774,2.40358,44.8292,5.37776,16.8923,4.0686,69.5157,7.08785,79.8008,4.51733,63.3969,3.93736,77.0817,3.43911,17.9943>	0	<>	<7,466.188,-96.6774>
0	<4.5877,45.5647,2.32126,55.8653,2.30353,0.0834328,7.92736,53.346,5.03477,52.0682,2.91995,64.5376,7.00338,25.3582,3.96285,74.0189>	0	<>	<8,370.842,-74.0189>
0	<2.54249,62.3776,2.31936,84.5751,6.54889,62.6852,4.78636,66.2392,3.97402,4.3384,3.07453,84.4482,6.69941,64.4806,1.17097,32.673>	0	<>	<7,461.817,-84.5751>
0	<1.70317,21.3176,7.19768,28.6671,2.49807,87.5005,6.74092,79.0405,3.76981,9.44104,4.05047,25.3312,3.43595,85.9046,7.9545,56.8349>	0	<>	<8,394.037,-87.5005>
0	<4.37975,18.198,3.8987,27.552,6.66183,95.5008,7.56539,23.3692,7.98874,23.4274,1.54721,81.2593,7.15356,10.2598,1.97526,97.9533>	0	<>	<8,377.52,-97.9533>
0	<3.21041,2.47054,2.86343,52.9783,7.29797,8.63352,3.24132,29.5397,2.26522,75.597,4.84096,52.8738,5.30511,54.2209,1.67961,9.78367>	0	<>	<7,286.097,-75.597>
0	<6.06932,51.1186,3.6135,53.3021,4.26336,31.1269,6.36699,46.4586,4.8188,84.4886,2.94025,42.4623,7.63239,41.6501,3.82909,26.3257>	0	<>	<8,376.933,-84.4886>
0	<4.08845,67.036,6.55128,34.0917,6.29686,11.3229,5.4542,93.744,7.08439,18.5022,4.26325,48.4215,6.09062,56.3265,5.07436,45.142>	0	<>	<7,374.587,-93.744>
0	<1.52116,95.5408,7.89109,54.0645,2.86674,75.1154,1.03661,81.222,5.17228,28.2409,2.6579,54.3524,5.89237,64.0999,6.64747,14.0117>	0	<>	<8,466.648,-95.5408>
